-0.026,0.049,0.016,32.3,27.1,29.2,325,68.77,4.9665,331.9
-0.043,0.066,0.013,31.8,27.5,29.2,324.9,68.79,4.9658,327
-0.043,0.059,0.007,32.3,28,28.8,325,68.81,4.9665,324.2
-0.049,0.125,0.013,32.3,28.4,28.8,325,68.81,4.9738,338.5
-0.069,0.2,0.003,31.8,28.4,28.4,324.9,68.77,4.9817,341
-0.079,0.23,0.007,31.8,28.4,28,325,68.76,4.9936,341.1
-0.115,0.364,0.016,32.3,28.4,28.8,324.9,68.76,5.1968,342.5
-0.118,0.371,0.016,33.1,28.8,30.1,324.9,68.74,5.0169,342.3
-0.151,0.502,0.016,33.1,28.8,29.7,324.9,68.7,5.034,343.3
-0.197,0.591,0.03,33.1,28.8,28.8,324.9,68.7,5.0477,341.6
-0.21,0.584,0.013,33.1,28.8,28.4,324.9,68.68,5.0688,340.2
-0.19,0.554,0.023,34,28.8,28.8,324.9,68.68,5.0856,341.1
-0.157,0.443,0.033,34,29.7,29.7,324.9,68.67,5.1064,340.4
-0.144,0.42,0.023,34.8,30.5,30.5,325,68.68,5.1232,341
-0.135,0.308,0.023,34.8,30.5,31.8,325,68.68,5.1409,336.4
-0.148,0.325,0.023,35.7,31,31.8,325,68.68,5.1611,335.6
-0.144,0.262,0.023,34.8,30.1,31.4,325,68.67,5.1779,331.2
-0.131,0.262,0.016,34.8,30.5,31.4,324.9,68.65,5.199,333.4
-0.131,0.335,0.033,34.4,29.7,29.7,324.9,68.63,5.2127,338.6
-0.154,0.354,0.02,34.8,30.1,30.1,324.9,68.61,5.2341,336.5
-0.154,0.413,0.026,34,29.7,29.2,324.9,68.58,5.2494,339.5
-0.157,0.41,0.033,34.8,29.7,29.2,324.9,68.54,5.2717,339
-0.174,0.472,0.03,34.4,30.5,29.7,324.9,68.52,5.29,339.8
-0.194,0.443,0.03,34.8,30.1,30.1,324.8,68.49,5.3105,336.4
-0.18,0.417,0.026,34.4,29.7,30.1,324.9,68.47,5.3295,336.6
-0.177,0.417,0.033,34.4,30.1,30.5,324.9,68.43,5.3521,337
-0.154,0.354,0.02,34,30.1,30.1,324.9,68.41,5.372,336.5
-0.115,0.233,0.016,34.4,30.1,31,324.9,68.41,5.3928,333.8
-0.144,0.246,0.013,34.8,30.1,31,324.9,68.41,5.4065,329.6
-0.075,0.095,0.016,34,29.7,31,324.9,68.4,5.4197,321.6
-0.049,0.092,0.016,33.5,29.7,31.4,325,68.38,5.4297,331.8
-0.02,-0.013,0.016,33.1,29.7,31,324.9,68.38,5.4401,236.3
-0.02,-0.03,0.003,32.7,29.7,31,324.8,68.36,5.4481,213.7
0.023,-0.066,0.016,33.1,29.2,31,324.8,68.36,5.4536,160.7
-0.02,-0.03,0.01,33.1,28.4,30.5,324.8,68.34,5.4576,213.7
-0.016,0.082,0.02,33.1,28.4,29.7,324.9,68.34,5.4649,348.7
-0.043,0.141,0.013,32.7,28,29.7,324.9,68.34,5.4756,343.2
-0.066,0.171,0.013,33.1,28.4,29.7,325,68.34,5.4888,339
-0.118,0.305,0.023,33.5,28.4,30.1,324.9,68.34,5.5001,338.8
-0.151,0.338,0.023,32.7,28.4,29.2,324.9,68.32,5.5105,335.9
-0.177,0.423,0.026,32.3,28,28.4,325,68.29,5.5251,337.3
-0.203,0.449,0.033,32.3,28,27.5,325,68.27,5.5401,335.7
-0.184,0.449,0.026,31,27.5,27.5,325,68.23,5.56,337.8
-0.154,0.371,0.036,31.4,28,27.5,325,68.22,5.5762,337.4
-0.125,0.236,0.02,33.1,28.4,29.2,325,68.2,5.593,332.2
-0.108,0.21,0.02,32.3,28.8,30.1,325.1,68.2,5.6019,332.7
-0.098,0.174,0.013,33.1,28,30.1,325,68.2,5.6154,330.5
-0.098,0.213,0.013,33.1,28.4,30.1,325,68.2,5.627,335.2
-0.092,0.131,0.02,33.1,28.8,30.1,325,68.18,5.6392,325
-0.056,0.075,0.013,32.7,28.8,29.7,324.9,68.18,5.6469,323.5
-0.052,0.062,0.01,32.7,28.4,29.2,325,68.16,5.6524,319.9
-0.062,0.059,0.007,32.7,28,28.8,325,68.16,5.6563,313.5
-0.03,0.023,0.007,31.4,28,28.8,325,68.14,5.6603,307.9
-0.03,0.056,0.016,31.8,27.5,28.4,324.9,68.16,5.667,332.1
-0.059,0.062,0.007,31.4,27.1,29.2,325,68.16,5.6698,316.5
-0.046,0.095,0.016,31.8,27.5,28.8,325,68.16,5.6722,334.2
-0.026,0.016,0.01,32.3,28.4,29.7,325.1,68.16,5.6701,302
-0.007,0.007,0.01,31.4,27.5,29.2,324.9,68.13,5.6683,315
-0.003,-0.016,0.013,31.4,26.7,28,324.9,68.13,5.6646,191.3
-0.016,-0.023,0.007,31,26.7,28,324.9,68.13,5.664,215.5
-0.033,-0.046,0.01,31,26.2,28,324.9,68.13,5.6606,215.5
-0.026,-0.079,0.007,30.5,26.7,28,324.8,68.11,5.6548,198.4
-0.02,-0.066,0.013,30.5,27.1,27.5,325,68.11,5.6469,196.7
-0.013,-0.049,0.01,31.4,26.7,28,324.9,68.11,5.6374,194.9
0,-0.066,0.013,32.3,27.5,28.8,324.9,68.11,5.6306,180
-0.013,-0.085,0.01,32.7,29.2,30.1,324.9,68.11,5.6215,188.7
0,-0.075,0.013,33.5,29.7,30.1,324.9,68.13,5.6147,180
-0.023,0,0.007,32.7,28.8,30.5,325,68.11,5.6089,270
-0.01,-0.02,0.007,32.7,28,29.2,325,68.11,5.6031,206.6
-0.026,0.007,0.016,31.8,28,29.2,325,68.13,5.5912,284
-0.02,-0.079,0.016,31.4,27.5,28.4,325,68.11,5.578,194
0.007,-0.128,0.016,31.4,28,28.8,325,68.13,5.5655,177.1
0,-0.184,0.013,32.3,28.4,29.2,325,68.11,5.5536,180
-0.003,-0.246,0.023,31.8,28.8,29.7,324.9,68.11,5.5423,180.8
-0.046,-0.217,0,33.5,30.1,31,324.9,68.09,5.527,192
-0.023,-0.154,0.003,35.3,31.4,31.8,324.9,68.09,5.5123,188.5
-0.026,-0.105,0.013,36.5,31.8,33.5,325,68.11,5.4964,194
-0.013,0,0.01,34,29.2,31,325.1,68.11,5.4826,270
-0.016,-0.033,0.003,34,28.8,30.5,325,68.11,5.4667,206.6
-0.023,-0.013,0,33.5,28,29.7,325,68.11,5.4536,240.3
-0.046,0.026,0.003,32.7,28,29.2,325.2,68.13,5.4417,299.7
-0.049,0.059,0.003,32.3,28,29.7,324.9,68.13,5.4337,320.2
-0.059,0.052,0.003,32.7,28.4,30.1,325.1,68.13,5.4276,311.6
-0.026,0.056,0.007,32.3,28.8,29.7,325.1,68.13,5.4218,334.8
-0.036,0.039,0.013,33.1,28.4,30.1,325,68.13,5.4132,317.5
-0.036,0.01,0.01,31.4,27.1,28,325.1,68.11,5.4028,285.3
-0.056,-0.102,0.013,30.1,26.7,26.7,325,68.13,5.3906,208.7
-0.01,-0.108,0.007,28.8,26.2,26.2,325,68.13,5.3769,185.2
0,-0.167,0.003,28.4,25.4,24.9,325.1,68.14,5.3643,180
-0.02,-0.269,0,29.7,26.2,26.7,324.9,68.14,5.3493,184.2
-0.049,-0.266,0,31.4,29.7,29.7,325.1,68.13,5.3344,190.5
-0.02,-0.2,-0.007,37,34.8,32.7,324.9,68.11,5.3212,185.6
-0.043,-0.043,0.007,33.5,29.7,30.1,325,68.11,5.3114,225
-0.052,0.079,0.003,32.7,28.8,29.7,325,68.11,5.3069,326.3
-0.043,0.18,0.013,31,28,28,325.1,68.11,5.3017,346.7
-0.039,0.069,0.013,32.3,31,28.8,324.9,68.14,5.2934,330.3
-0.049,0.095,0.01,30.1,26.7,26.7,325.1,68.14,5.2818,332.7
-0.052,0.069,0.01,28.8,25.8,25.8,325,68.14,5.2699,322.7
-0.052,-0.036,0.007,30.5,26.2,27.1,325,68.18,5.2607,235.5
-0.052,-0.036,0.007,30.5,26.2,27.1,325,68.18,5.2607,235.5
-0.052,-0.036,0.007,30.5,26.2,27.1,325,68.18,5.2607,235.5
